condition,family,method,checkpoint,positions,top1,top3,policy_ce,value_mse,value_rmse,value_pearson,params,prunable_params,nonzero_prunable_params,actual_sparsity,sparsity_target,actual_model_mb,sparse_estimated_mb,cpu_latency_ms,gpu_latency_ms,peak_gpu_mb,train_seconds,epochs_completed,val_top1,val_top3,val_policy_ce,cpu_latency_q1_ms,cpu_latency_q3_ms,cpu_latency_trials,seed
student_distilled_pruned_75,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_47/student_distilled_pruned_75.pt,7475,0.2042809364548495,0.4359866220735786,2.852200992482163,0.0923575684428215,0.303903880269439,0.5427940487861633,2970113,2949248,737312,0.75,0.75,11.334019660949707,5.704837799072266,0.3765259266947396,,0.0,3.908111773984274,1,0.2021077908217716,0.4407684098185699,2.841205829744532,0.37039723494672216,0.4170573683222756,"[0.45569115997447324, 0.45785988331772387, 0.3681678366653311, 0.3784235766700779, 0.3765259266947396, 0.3692731532889108, 0.3715213166045335]",47
teacher_fp32,teacher,baseline,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_57/teacher_fp32.pt,7475,0.23357859531772576,0.460066889632107,2.8344138086759125,0.05005383864045143,0.22372715221995615,0.7748578786849976,12212225,12190208,12190208,0.0,,46.58998394012451,,2.329830933304038,0.5230510733478392,309.6650390625,130.32624284099438,17,0.23745997865528282,0.47171824973319104,2.821820900559807,2.3187617450215234,2.3858816050051246,"[2.3190291900148927, 2.3846144499839284, 2.3156414167412245, 2.329830933304038, 2.387148760026321, 2.5047668866075887, 2.318494300028154]",57
student_direct,student,direct_training,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_57/student_direct.pt,7475,0.23384615384615384,0.44481605351170567,2.8638675016703017,0.047940466552972794,0.21895311496521988,0.7887219190597534,2970113,2949248,2949248,0.0,,11.334151268005371,,0.37283816665876657,0.15358723001554608,209.59912109375,72.41778714800603,20,0.24386339381003203,0.4570437566702241,2.846031011868439,0.35357905833128217,0.3748405183432624,"[0.39635730334945646, 0.3750880033476278, 0.37459303333889693, 0.37283816665876657, 0.35152693996982026, 0.3556311766927441, 0.31107007341537]",57
student_distilled,student,distillation,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_57/student_distilled_a0p50_t2p0.pt,7475,0.22782608695652173,0.4508361204013378,2.8524554879370343,0.0470745712518692,0.21696675148941416,0.790514349937439,2970113,2949248,2949248,0.0,,11.334399223327637,,0.4044339766066211,0.17605366330826655,252.8876953125,88.49711939800181,20,0.23145677694770544,0.46091248665955176,2.8375446966897973,0.38254667170501,0.4111588183635225,"[0.41991827660240233, 0.3886702667417315, 0.37642307666828856, 0.3665621200343594, 0.4044339766066211, 0.41618944000219926, 0.40612819672484574]",57
teacher_int8,teacher,quantization,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_57/teacher_int8.pt,7475,0.23357859531772576,0.4584615384615385,2.83513991390981,0.05000302568078041,0.22361356327553214,0.774888813495636,12212225,12190208,12190208,0.0,,11.716753959655762,,0.534717729994251,,0.0,0.0,0,0.23465848452508004,0.47038420490928495,2.82250802010584,0.5209047816363939,0.5726299933060849,"[0.5538911132801635, 0.5227225832641125, 0.5190869800086754, 0.4922460566740483, 0.534717729994251, 0.6461887333231667, 0.5913688733320063]",57
teacher_control,teacher,control,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_57/teacher_control.pt,7475,0.2468227424749164,0.4691638795986622,2.8340407190354773,0.04922971874475479,0.22187771123922023,0.7801616787910461,12212225,12190208,12190208,0.0,,46.5896577835083,,2.283988683387482,,0.0,7.378895451023709,1,0.24653148345784417,0.48665955176093917,2.823886157863295,2.2446619166294113,2.3069133817140632,"[2.162697773310356, 2.541913093397549, 2.2887600767232166, 2.32506668670491, 2.283988683387482, 2.2538415399806886, 2.235482293278134]",57
teacher_pruned_25,teacher,pruning,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_57/teacher_pruned_25.pt,7475,0.25672240802675583,0.46903010033444814,2.828475254754159,0.04879165068268776,0.2208883217435629,0.781726062297821,12212225,12190208,9142656,0.25,0.25,46.58968448638916,69.83691787719727,2.246216373265876,,0.0,7.559856383013539,1,0.26227321237993595,0.48118996798292424,2.8197471273619694,2.193223468299645,2.352504293327608,"[2.246216373265876, 2.4854938633507118, 2.1835251833545044, 2.1487528999568895, 2.272677606670186, 2.43233097998503, 2.202921753244785]",57
teacher_pruned_50,teacher,pruning,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_57/teacher_pruned_50.pt,7475,0.24923076923076923,0.4705016722408027,2.824663392006354,0.04786957427859306,0.2187911659061971,0.7848212718963623,12212225,12190208,6095104,0.5,0.5,46.58968448638916,46.585941314697266,2.2529973333197026,,0.0,7.613109765021363,1,0.2608057630736393,0.4786552828175027,2.816722691504398,2.193478096693677,2.2805846033831285,"[2.0802365834242664, 2.705375859998943, 2.168648850056343, 2.2183073433310105, 2.2529973333197026, 2.26834884340254, 2.2928203633637168]",57
teacher_pruned_75,teacher,pruning,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_57/teacher_pruned_75.pt,7475,0.25190635451505017,0.4659531772575251,2.798775210332711,0.0553903765976429,0.23535160207154507,0.7535268664360046,12212225,12190208,3047552,0.75,0.75,46.58968448638916,23.334964752197266,2.0826597566095493,,0.0,7.8543644880119245,1,0.25,0.4823906083244397,2.7885395643423565,2.032657183299307,2.2859038449920868,"[1.9852965800479676, 2.5182084300710508, 2.379394006663157, 2.057706863270141, 2.0826597566095493, 2.1924136833210164, 2.0076075033284724]",57
student_distilled_int8,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_57/student_distilled_int8.pt,7475,0.22648829431438128,0.4500334448160535,2.85338623841072,0.04728800058364868,0.21745804327191184,0.7898268699645996,2970113,2949248,2949248,0.0,,2.8996877670288086,,0.23134512002191818,,0.0,0.0,0,0.23012273212379936,0.46011205976520814,2.8384904846183265,0.21700437335918346,0.25115798004359624,"[0.26545941674460966, 0.29242140337980044, 0.23685654334258288, 0.23134512002191818, 0.21185274332916984, 0.22215600338919708, 0.20496669661952183]",57
