condition,family,method,checkpoint,positions,top1,top3,policy_ce,value_mse,value_rmse,value_pearson,params,prunable_params,nonzero_prunable_params,actual_sparsity,sparsity_target,actual_model_mb,sparse_estimated_mb,cpu_latency_ms,gpu_latency_ms,peak_gpu_mb,train_seconds,epochs_completed,val_top1,val_top3,val_policy_ce,cpu_latency_q1_ms,cpu_latency_q3_ms,cpu_latency_trials,seed
student_distilled_control,student,control,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_57/student_distilled_control.pt,7475,0.2294314381270903,0.4563210702341137,2.8506485423595214,0.04725343734025955,0.21737855768281183,0.7909324169158936,2970113,2949248,2949248,0.0,,11.333992958068848,,0.3882981666053335,,0.0,4.001346044009551,1,0.22985592315901815,0.46398078975453577,2.832778911834847,0.3876458300025357,0.4028897049526373,"[0.5371363332960755, 0.41528030997142196, 0.3882981666053335, 0.38803647000653047, 0.39049909993385273, 0.38554355667050305, 0.387255189998541]",57
student_distilled_pruned_25,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_57/student_distilled_pruned_25.pt,7475,0.22956521739130434,0.451505016722408,2.8486258023239697,0.04665546119213104,0.21599875275596164,0.792607843875885,2970113,2949248,2211936,0.25,0.25,11.334019660949707,16.955326080322266,0.3654482999506096,,0.0,3.715533278998919,1,0.22998932764140875,0.46438100320170755,2.8305812446895504,0.3602945333598958,0.4157292133216591,"[0.4935491966898553, 0.4277172366467615, 0.35886939673218876, 0.40374118999655667, 0.3654482999506096, 0.3617196699876028, 0.3367997534223832]",57
student_distilled_pruned_50,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_57/student_distilled_pruned_50.pt,7475,0.23745819397993312,0.4527090301003345,2.8315568453173174,0.05814944580197334,0.2411419619269391,0.7345378398895264,2970113,2949248,1474624,0.5,0.5,11.334019660949707,11.330081939697266,0.388809569994919,,0.0,4.242466152005363,1,0.23999466382070436,0.4579775880469584,2.8153715764700156,0.3868393433125069,0.4045128966875685,"[0.4891877167392522, 0.4173295066963571, 0.388809569994919, 0.3870293100286896, 0.38664937659632415, 0.3751450666459277, 0.39169628667877987]",57
student_distilled_pruned_75,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_57/student_distilled_pruned_75.pt,7475,0.2268896321070234,0.43130434782608695,2.8612268467013253,0.09477312862873077,0.3078524461957884,0.5382265448570251,2970113,2949248,737312,0.75,0.75,11.334019660949707,5.704837799072266,0.3846924100071192,,0.0,4.452822501014452,1,0.22825506937033085,0.4429028815368196,2.842537829562974,0.3743716266762931,0.4223647699594342,"[0.4482638232487564, 0.5025727000126304, 0.39646571667011204, 0.38217009336221963, 0.3846924100071192, 0.36134578675652546, 0.36657315999036655]",57
teacher_fp32,teacher,baseline,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_67/teacher_fp32.pt,7475,0.23906354515050168,0.4508361204013378,2.837145658990611,0.046029433608055115,0.21454471237496187,0.793979287147522,12212225,12190208,12190208,0.0,,46.58998394012451,,2.3493745534021095,0.8416317200559812,309.6650390625,100.55673992601805,13,0.24773212379935966,0.4637139807897545,2.8240411663258977,2.3370582083104336,2.4863967233492685,"[2.49864264333155, 2.5400451432991153, 2.3493745534021095, 2.319798186654225, 2.340963280003052, 2.3331531366178146, 2.4741508033669866]",67
student_direct,student,direct_training,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_67/student_direct.pt,7475,0.23076923076923078,0.44066889632107026,2.8623610066251213,0.04635225608944893,0.21529574099235899,0.7948452830314636,2970113,2949248,2949248,0.0,,11.334151268005371,,0.34869235668641824,0.1392426532887233,208.97412109375,74.47122933101491,20,0.23452508004268943,0.4521077908217716,2.84677242800164,0.34291860831823817,0.3498423449733915,"[0.40497875326157856, 0.34331953997025266, 0.3301353000764114, 0.34869235668641824, 0.3500423699733801, 0.34964231997340295, 0.34251767666622374]",67
student_distilled,student,distillation,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_67/student_distilled_a0p50_t2p0.pt,7475,0.2123076923076923,0.44321070234113713,2.845857919737647,0.04716726392507553,0.21718025675709,0.7928116917610168,2970113,2949248,2949248,0.0,,11.334399223327637,,0.36139380662158754,0.17402543996771178,253.2626953125,92.71473419500398,20,0.21344717182497333,0.4599786552828175,2.8312858056869423,0.35472226663841866,0.36847774502045166,"[0.3677486300390835, 0.3591338299641696, 0.37502323335502297, 0.36920686000181985, 0.36139380662158754, 0.3503107033126677, 0.3374936666417246]",67
teacher_int8,teacher,quantization,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_67/teacher_int8.pt,7475,0.23036789297658863,0.45096989966555184,2.8370101264647416,0.04620055854320526,0.2149431518872031,0.7931771278381348,12212225,12190208,12190208,0.0,,11.716753959655762,,0.46145261003402993,,0.0,0.0,0,0.23665955176093917,0.4626467449306297,2.824176416325849,0.44384976999329717,0.5481943283424091,"[0.46145261003402993, 0.4436613933648914, 0.4440381466217029, 0.44104263331973925, 0.515253646687294, 0.6693110399646685, 0.5811350099975243]",67
teacher_control,teacher,control,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_67/teacher_control.pt,7475,0.25270903010033446,0.45591973244147155,2.830736650734841,0.04442255571484566,0.21076659060402733,0.8037329316139221,12212225,12190208,12190208,0.0,,46.5896577835083,,2.3083127066881084,,0.0,7.642102407000493,1,0.25773745997865527,0.47251867662753466,2.8183130327385544,2.109332033287501,2.372183838354734,"[2.410444766671086, 2.8002010133544295, 2.333922910038382, 2.3083127066881084, 2.144223469949793, 2.074440596625209, 2.0619618733568736]",67
teacher_pruned_25,teacher,pruning,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_67/teacher_pruned_25.pt,7475,0.25297658862876254,0.45591973244147155,2.8316833597840274,0.0442364364862442,0.21032459791057298,0.8057888746261597,12212225,12190208,9142656,0.25,0.25,46.58968448638916,69.83691787719727,2.2343309865876413,,0.0,7.915519198984839,1,0.25693703308431165,0.47118463180362863,2.82048701400309,2.1348803283278057,2.320610011617343,"[2.161999433301389, 2.432973626710009, 2.2343309865876413, 2.3429364332696423, 2.1042272366078882, 2.107761223354222, 2.298283589965043]",67
teacher_pruned_50,teacher,pruning,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_67/teacher_pruned_50.pt,7475,0.24615384615384617,0.4576588628762542,2.827550346731741,0.04301367700099945,0.20739738908915764,0.8096889853477478,12212225,12190208,6095104,0.5,0.5,46.58968448638916,46.585941314697266,2.1395990200107917,,0.0,7.508545365999453,1,0.25373532550693706,0.46691568836712916,2.8163964473577803,2.0439130716840737,2.2309381849966785,"[2.018652429978829, 2.4334897900310657, 2.1395990200107917, 2.1818234533808814, 2.280052916612476, 2.0691737133893184, 1.9685772966477089]",67
teacher_pruned_75,teacher,pruning,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_67/teacher_pruned_75.pt,7475,0.2454849498327759,0.45444816053511705,2.8201139413074507,0.054583001881837845,0.23363005346452723,0.7726559638977051,12212225,12190208,3047552,0.75,0.75,46.58968448638916,23.334964752197266,2.073610136673475,,0.0,7.765930182999,1,0.2502668089647812,0.45957844183564567,2.807671449227674,2.047605598345399,2.2036952700000256,"[2.1787102966724583, 2.3342805100643695, 2.228680243327593, 2.024606856672714, 2.0355424400380193, 2.073610136673475, 2.0596687566527785]",67
student_distilled_int8,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_67/student_distilled_int8.pt,7475,0.21498327759197325,0.4446822742474916,2.845621918037185,0.047056905925273895,0.21692603791447881,0.7904272675514221,2970113,2949248,2949248,0.0,,2.8996877670288086,,0.23985662662501758,,0.0,0.0,0,0.2133137673425827,0.4578441835645678,2.8314953018278044,0.23752141001750715,0.2644331183303924,"[0.27663767667642486, 0.3080448366623993, 0.2522285599843599, 0.23902346001705155, 0.23985662662501758, 0.23601936001796275, 0.21926590998191386]",67
student_distilled_control,student,control,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_67/student_distilled_control.pt,7475,0.24093645484949833,0.4450836120401338,2.844983098116208,0.04606350511312485,0.21462410189241293,0.7961134910583496,2970113,2949248,2949248,0.0,,11.333992958068848,,0.4572841966485915,,0.0,4.0902738430013414,1,0.2434631803628602,0.4605122732123799,2.830533080319839,0.44815874333532213,0.48335103997184586,"[0.50782523661231, 0.37901535669031244, 0.44567918666871265, 0.4588768433313817, 0.45063830000193167, 0.5150030966615304, 0.4572841966485915]",67
student_distilled_pruned_25,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_67/student_distilled_pruned_25.pt,7475,0.23906354515050168,0.44481605351170567,2.8449605379455463,0.04588569700717926,0.21420946992880419,0.7960324287414551,2970113,2949248,2211936,0.25,0.25,11.334019660949707,16.955326080322266,0.41495112333601963,,0.0,4.203164520993596,1,0.23999466382070436,0.4579775880469584,2.829605625431464,0.40572407500197494,0.4532697299631157,"[0.4572059899995414, 0.3986822733228716, 0.45605298995117965, 0.3730101733041617, 0.4127658766810782, 0.45048646997505176, 0.41495112333601963]",67
student_distilled_pruned_50,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_67/student_distilled_pruned_50.pt,7475,0.23438127090301003,0.4402675585284281,2.837841510358064,0.05549865588545799,0.23558152704628177,0.7513009905815125,2970113,2949248,1474624,0.5,0.5,11.334019660949707,11.330081939697266,0.45031564669140306,,0.0,4.253691878984682,1,0.23439167556029883,0.45384204909284953,2.8243900879724557,0.4093081616641333,0.4552245383092668,"[0.4717399799847044, 0.4235257366478133, 0.380629059994438, 0.45183110662037507, 0.4586179699981585, 0.45031564669140306, 0.39509058668045327]",67
student_distilled_pruned_75,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_67/student_distilled_pruned_75.pt,7475,0.19652173913043477,0.42782608695652175,2.864912341765337,0.08643750101327896,0.2940025527325893,0.6059388518333435,2970113,2949248,737312,0.75,0.75,11.334019660949707,5.704837799072266,0.39826606332402054,,0.0,3.884395738976309,1,0.20104055496264675,0.43836712913553894,2.8535388732287266,0.38930458831600845,0.44042340164499666,"[0.5210651333133379, 0.3903452866749528, 0.39826606332402054, 0.4592783166056809, 0.3882638899570641, 0.4215684866843124, 0.3668634400431377]",67
teacher_fp32,teacher,baseline,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_77/teacher_fp32.pt,7475,0.2082943143812709,0.4504347826086956,2.838636225984248,0.04905648157000542,0.22148697833056782,0.7791907787322998,12212225,12190208,12190208,0.0,,46.58998394012451,,2.2982289366579303,0.6023880733603922,309.6650390625,94.43040988800931,13,0.2131803628601921,0.4694503735325507,2.816727294484223,2.1996767866464024,2.3718534866444925,"[2.4161904400292165, 2.4438606500431583, 2.327516533259768, 2.1169234266077788, 2.2982289366579303, 2.1523300266320198, 2.2470235466607846]",77
student_direct,student,direct_training,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_77/student_direct.pt,7475,0.23879598662207357,0.4430769230769231,2.8590494108040594,0.051163457334041595,0.2261934069199224,0.7710303664207458,2970113,2949248,2949248,0.0,,11.334151268005371,,0.3465781399669747,0.1674133667256683,208.97412109375,75.76923869800521,20,0.24466382070437567,0.45957844183564567,2.8397323851142646,0.34034958832004725,0.35479248331588076,"[0.3394193166362432, 0.34686373663134873, 0.36272123000041273, 0.33130345002670464, 0.365367293319044, 0.34127986000385135, 0.3465781399669747]",77
student_distilled,student,distillation,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_77/student_distilled_a0p50_t2p0.pt,7475,0.23892976588628762,0.44668896321070234,2.847917080403969,0.04792502894997597,0.218917858910542,0.785478949546814,2970113,2949248,2949248,0.0,,11.334399223327637,,0.37433752334133413,0.19161813999138153,252.6376953125,86.61027754101087,20,0.24719850586979722,0.45570971184631803,2.8315645523743034,0.3659826116927434,0.39669670329506823,"[0.467537419948106, 0.4114038433181122, 0.3819895632720242, 0.36660151003161445, 0.37433752334133413, 0.33970942662563175, 0.3653637133538723]",77
teacher_int8,teacher,quantization,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_77/teacher_int8.pt,7475,0.2151170568561873,0.4511036789297659,2.8387867123785626,0.0489429235458374,0.22123047607831386,0.7794949412345886,12212225,12190208,12190208,0.0,,11.716753959655762,,0.5315071800335621,,0.0,0.0,0,0.22465314834578443,0.46878335112059766,2.816874929018947,0.4878208850277588,0.596210710015536,"[0.4822193333529867, 0.4874790566585337, 0.5315071800335621, 0.48816271339698386, 0.6070071199792437, 0.6410008366219699, 0.5854143000518283]",77
teacher_control,teacher,control,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_77/teacher_control.pt,7475,0.21899665551839465,0.4287625418060201,2.8333937114218006,0.04668683186173439,0.21607135826327004,0.79157954454422,12212225,12190208,12190208,0.0,,46.5896577835083,,2.248748816685596,,0.0,7.207763110025553,1,0.22598719316969051,0.44330309498399145,2.815198064486525,2.2141913600110756,2.3163700267226277,"[2.20223272665559, 2.6390600233571604, 2.248748816685596, 2.289823786704801, 2.226149993366562, 2.342916266740455, 2.179026313339515]",77
teacher_pruned_25,teacher,pruning,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_77/teacher_pruned_25.pt,7475,0.24053511705685618,0.45672240802675584,2.8320062845287515,0.04632812738418579,0.2152396975099756,0.7927159070968628,12212225,12190208,9142656,0.25,0.25,46.58968448638916,69.83691787719727,2.2640135033482998,,0.0,7.784530838980572,1,0.24466382070437567,0.4705176093916756,2.8136058181937758,2.22163880665903,2.3104732933279593,"[2.3164489866273166, 2.4178848599937433, 2.143003773332263, 2.2056694366619922, 2.2640135033482998, 2.304497600028602, 2.2376081766560674]",77
teacher_pruned_50,teacher,pruning,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_77/teacher_pruned_50.pt,7475,0.2254180602006689,0.45953177257525085,2.831576548515754,0.0462244413793087,0.21499870087818834,0.7957313060760498,12212225,12190208,6095104,0.5,0.5,46.58968448638916,46.585941314697266,2.2688950667118966,,0.0,7.703067731985357,1,0.22985592315901815,0.47198505869797225,2.8119160963606045,2.2572372483167173,2.3280985600043396,"[2.2763162932824343, 2.3798808267262452, 2.2688950667118966, 2.2067670133158876, 2.2591883233205103, 2.255286173312925, 2.4409106600796804]",77
teacher_pruned_75,teacher,pruning,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_77/teacher_pruned_75.pt,7475,0.24,0.45137123745819396,2.8234918444770636,0.05606351047754288,0.23677734367448014,0.7625720500946045,12212225,12190208,3047552,0.75,0.75,46.58968448638916,23.334964752197266,2.201127666727795,,0.0,7.925285837991396,1,0.2434631803628602,0.46384738527214514,2.8057339832647887,2.172274528323517,2.307478941656882,"[2.165797619963996, 2.4801276467042044, 2.3361016733300253, 2.2788562099837386, 2.0231824399282536, 2.1787514366830387, 2.201127666727795]",77
student_distilled_int8,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_77/student_distilled_int8.pt,7475,0.23478260869565218,0.4462876254180602,2.8486528131555153,0.0501522421836853,0.22394696288113689,0.7772766351699829,2970113,2949248,2949248,0.0,,2.8996877670288086,,0.23407605670702955,,0.0,0.0,0,0.2390608324439701,0.45584311632870866,2.832199449854701,0.2092146699821266,0.2552776583373392,"[0.27106342332748073, 0.26383975996092585, 0.24671555671375245, 0.2099881933342355, 0.23407605670702955, 0.2084411466300177, 0.20647151657612994]",77
student_distilled_control,student,control,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_77/student_distilled_control.pt,7475,0.2105685618729097,0.44749163879598663,2.8474055020386557,0.047540921717882156,0.2180388078253093,0.7876210808753967,2970113,2949248,2949248,0.0,,11.333992958068848,,0.381035739944006,,0.0,4.089056877011899,1,0.2213180362860192,0.4582443970117396,2.8305471037597005,0.3651003683626186,0.4180525666257987,"[0.45413607993396, 0.4635483732757469, 0.381035739944006, 0.3819690533176375, 0.3687808700487949, 0.3614198666764423, 0.3398429266720389]",77
student_distilled_pruned_25,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_77/student_distilled_pruned_25.pt,7475,0.20735785953177258,0.44949832775919735,2.8446912398705115,0.04668740928173065,0.21607269443807714,0.7923679351806641,2970113,2949248,2211936,0.25,0.25,11.334019660949707,16.955326080322266,0.36373976336714503,,0.0,3.8880535599892028,1,0.21371398078975454,0.45904482390608325,2.828317497939412,0.35852318168811814,0.40016496665581747,"[0.5128303866755838, 0.4251224732918975, 0.3582107867502297, 0.3752074600197375, 0.34231915332687396, 0.36373976336714503, 0.3588355766260065]",77
student_distilled_pruned_50,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_77/student_distilled_pruned_50.pt,7475,0.2125752508361204,0.43933110367892975,2.840990135741473,0.061480190604925156,0.247951992540744,0.7212318181991577,2970113,2949248,1474624,0.5,0.5,11.334019660949707,11.330081939697266,0.3894259933925544,,0.0,4.173423640982946,1,0.21851654215581642,0.4503735325506937,2.8258607262862783,0.3856275066694555,0.4318626033394442,"[0.45220847668436664, 0.48649696992166963, 0.3894259933925544, 0.375191229977645, 0.3856965933421937, 0.41151672999452177, 0.3855584199967173]",77
student_distilled_pruned_75,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_77/student_distilled_pruned_75.pt,7475,0.22301003344481604,0.4271571906354515,2.8727951728859074,0.0898987278342247,0.29983116554858785,0.5698589086532593,2970113,2949248,737312,0.75,0.75,11.334019660949707,5.704837799072266,0.34670416003791615,,0.0,4.441659864009125,1,0.2294557097118463,0.4389007470651014,2.8558639421534258,0.3387754199987588,0.4078631716644546,"[0.46335455001099035, 0.46070242999121547, 0.3357608699783062, 0.34670416003791615, 0.33580052326821413, 0.35502391333769384, 0.34175031672930345]",77
